date,steps,distance,runDistance,calories
9/10/2017,4788,3462,206,124
9/11/2017,4452,2982,441,111
9/12/2017,14137,10283,514,352
9/13/2017,10044,6828,613,224
9/14/2017,4408,2989,405,101
9/15/2017,8603,5997,375,197
9/16/2017,30522,20886,350,654
9/17/2017,19075,13012,304,407
9/18/2017,26213,18221,537,578
9/19/2017,25523,18991,280,625
9/20/2017,34543,24523,289,784
9/21/2017,27355,19258,466,607
9/22/2017,18863,13057,225,410
9/23/2017,4769,3362,447,123
9/24/2017,3292,2215,246,79
9/25/2017,6755,4739,569,168
9/26/2017,4751,3268,441,116
9/27/2017,6485,4477,351,154
9/28/2017,5488,3786,366,134
9/29/2017,4635,3137,347,102
9/30/2017,10977,7458,713,248
10/1/2017,6681,4907,213,176
10/2/2017,8778,6223,565,216
10/3/2017,6915,4748,417,168
10/4/2017,5033,3456,319,122
10/5/2017,5054,3363,395,117
10/6/2017,6362,4298,416,148
10/7/2017,9091,6253,460,209
10/8/2017,14455,10718,232,350
10/9/2017,3367,2361,319,95
10/10/2017,6486,4705,417,166
10/11/2017,7563,5472,418,200
10/12/2017,4392,2999,237,108
10/13/2017,5042,3556,386,127
10/14/2017,13621,9828,686,340
10/15/2017,4616,3465,158,127
10/16/2017,7231,4966,548,167
10/17/2017,5318,3703,497,138
10/18/2017,8963,6247,630,217
10/19/2017,15129,10961,638,388
10/20/2017,4420,3221,177,116
10/21/2017,3414,2293,318,84
10/22/2017,15392,11631,527,417
10/23/2017,10098,6926,719,232
10/24/2017,6357,4302,460,153
10/25/2017,6131,4105,518,143
10/26/2017,9406,6409,545,217
10/27/2017,7649,5282,745,189
10/28/2017,2809,1940,266,71
10/29/2017,469,303,26,14
10/30/2017,8055,5862,739,213
10/31/2017,8290,6033,448,220
11/1/2017,7222,5229,240,193
11/2/2017,3469,2490,205,88
11/3/2017,5054,3493,329,122
11/4/2017,12440,8736,520,298
11/5/2017,542,350,66,16
11/6/2017,5090,3815,179,139
11/7/2017,3102,2187,175,81
11/8/2017,4217,2911,277,104
11/9/2017,8765,5924,666,196
11/10/2017,8531,6021,458,206
11/11/2017,5692,3756,495,130
11/12/2017,324,209,82,10
11/13/2017,4251,2936,482,105
11/14/2017,11415,8582,430,302
11/15/2017,3822,2722,242,104
11/16/2017,2727,1955,112,76
11/17/2017,8457,6228,1093,233
11/18/2017,9790,6854,656,242
11/19/2017,2394,1781,135,67
11/20/2017,4075,2889,219,108
11/21/2017,11289,7731,537,254
11/22/2017,13383,10198,283,369
11/23/2017,6632,4709,301,169
11/24/2017,4536,3253,365,119
11/25/2017,4204,2838,387,101
11/26/2017,9053,6930,208,259
11/27/2017,9377,6616,1113,240
11/28/2017,7817,5256,632,180
11/29/2017,5089,3438,389,126
11/30/2017,3702,2593,202,95
12/1/2017,8291,5506,537,191
12/2/2017,5275,3563,423,122
12/3/2017,658,425,72,17
12/4/2017,5648,4030,410,146
12/5/2017,3628,2565,356,95
12/6/2017,4327,2898,514,105
12/7/2017,4870,3331,374,122
12/8/2017,12568,8771,645,283
12/9/2017,4162,2744,326,93
12/10/2017,2430,1709,156,61
12/11/2017,4813,3463,243,123
12/12/2017,13753,10121,436,350
12/13/2017,3183,2245,193,78
12/14/2017,4000,2813,285,103
12/15/2017,10766,7991,167,277
12/16/2017,10511,7735,140,256
12/17/2017,1901,1401,112,53
12/18/2017,6269,4478,99,152
12/19/2017,646,418,71,21
12/20/2017,2541,1836,162,68
12/21/2017,562,363,114,18
12/22/2017,10005,7549,381,270
12/23/2017,2837,1868,248,69
12/24/2017,25469,19348,285,672
12/25/2017,307,198,64,11
12/26/2017,2164,1495,119,53
12/27/2017,10611,8215,181,289
12/28/2017,430,278,89,15
12/29/2017,1963,1475,99,54
12/30/2017,8411,6359,168,233
12/31/2017,2632,1893,127,72
1/1/2018,690,446,88,22
1/2/2018,4145,3187,273,125
1/3/2018,1759,1137,234,48
1/4/2018,10697,7222,439,247
1/5/2018,8593,5770,325,191
1/6/2018,635,410,97,18
1/7/2018,2743,1886,168,68
1/8/2018,671,434,123,20
1/9/2018,3083,2251,465,94
1/10/2018,685,443,85,22
1/11/2018,777,502,170,24
1/12/2018,5282,4000,227,150
1/13/2018,1549,1127,54,40
1/14/2018,7053,5035,321,177
1/15/2018,6663,4840,364,174
1/16/2018,4705,3292,177,120
1/17/2018,3715,2594,151,96
1/18/2018,23706,17380,3304,635
1/19/2018,844,546,94,23
1/20/2018,43,28,8,2
1/21/2018,26052,18538,309,605
1/22/2018,10567,7994,406,296
1/23/2018,8427,5918,509,199
1/24/2018,31246,23121,409,744
1/25/2018,4258,2807,317,96
1/26/2018,16689,12012,412,395
1/27/2018,1127,728,78,23
1/28/2018,9111,6182,301,191
1/29/2018,2531,1642,317,58
1/30/2018,4145,2723,264,89
1/31/2018,2485,1633,145,59
2/1/2018,10731,7376,306,231
2/2/2018,3814,2654,272,88
2/3/2018,1801,1164,126,40
2/4/2018,8889,6296,256,207
2/5/2018,2329,1513,224,54
2/6/2018,13372,9678,360,335
2/7/2018,9698,6606,556,221
2/8/2018,18029,13011,275,412
2/9/2018,6383,4278,273,145
2/10/2018,11154,7679,324,251
2/11/2018,8192,5334,532,180
2/12/2018,3394,2202,306,84
2/13/2018,12591,8857,402,282
2/14/2018,19825,13708,697,439
2/15/2018,6986,4605,425,156
2/16/2018,12846,9151,249,293
2/17/2018,6938,4801,313,158
2/18/2018,10075,6750,318,214
2/19/2018,3224,2084,278,74
2/20/2018,3475,2507,133,83
2/21/2018,271,175,39,6
2/22/2018,3812,2595,230,89
2/23/2018,2932,1906,293,67
2/24/2018,5017,3377,326,117
2/25/2018,3783,2487,319,81
2/26/2018,3043,2002,205,67
2/27/2018,16682,12410,1538,440
2/28/2018,18167,13282,376,429
3/1/2018,6364,4326,249,137
3/2/2018,17737,12751,455,408
3/3/2018,3654,2528,166,82
3/4/2018,11302,8329,307,285
3/5/2018,2948,1906,188,65
3/6/2018,14543,10775,1668,383
3/7/2018,15170,11338,2080,407
3/8/2018,3675,2459,177,80
3/9/2018,8215,5925,262,204
3/10/2018,12053,9049,82,302
3/11/2018,6464,4670,101,155
3/12/2018,6345,4642,39,149
3/13/2018,13224,10262,256,376
3/14/2018,21348,15775,147,499
3/15/2018,11797,8548,170,269
3/16/2018,4803,3443,164,114
3/17/2018,7480,5001,398,160
3/18/2018,7805,5511,269,175
3/19/2018,3092,2066,170,67
3/20/2018,4592,3176,283,107
3/21/2018,451,292,65,13
3/22/2018,34,22,7,1
3/23/2018,1171,762,105,24
3/24/2018,5350,3791,204,125
3/25/2018,2332,1516,202,53
3/26/2018,2442,1612,121,55
3/27/2018,2410,1566,227,54
3/28/2018,5882,4182,316,139
3/29/2018,2902,1919,212,67
3/30/2018,2542,1661,149,52
3/31/2018,6775,4580,328,156
4/1/2018,2692,1754,333,68
4/2/2018,19909,14723,446,487
4/3/2018,6245,4086,434,132
4/4/2018,3019,2025,264,73
4/5/2018,3896,2551,293,88
4/6/2018,12281,8990,251,288
4/7/2018,31019,21576,622,680
4/8/2018,32547,22652,469,707
4/9/2018,23500,15989,250,495
4/10/2018,12748,8698,154,265
4/11/2018,22217,15636,450,493
4/12/2018,9083,6098,236,199
4/13/2018,26254,18549,398,582
4/14/2018,23288,15536,343,465
4/15/2018,13955,9436,435,301
4/16/2018,19165,13415,331,425
4/17/2018,29079,20180,467,625
4/18/2018,5382,3535,340,119
4/19/2018,8178,5589,443,195
4/20/2018,23292,16859,476,542
4/21/2018,23681,16541,374,515
4/22/2018,3534,2397,266,89
4/23/2018,2886,2024,348,79
4/24/2018,4720,3594,237,141
4/25/2018,775,501,114,23
4/26/2018,511,330,77,17
4/27/2018,961,621,150,29
4/28/2018,482,312,72,16
4/29/2018,456,295,56,14
4/30/2018,4453,3329,129,115
5/1/2018,12219,9490,352,358
5/2/2018,9761,7348,353,273
5/3/2018,15949,11963,309,399
5/4/2018,3347,2369,165,91
5/5/2018,25854,19509,436,656
5/6/2018,895,579,117,31
5/7/2018,873,564,150,26
5/8/2018,7851,5903,315,219
5/9/2018,4060,3040,170,118
5/10/2018,660,427,111,22
5/11/2018,2462,1789,177,67
5/12/2018,12813,9938,553,375
5/13/2018,2348,1659,150,63
5/14/2018,1059,685,104,31
5/15/2018,8586,6765,162,253
5/16/2018,20205,15176,507,548
5/17/2018,12935,9889,356,367
5/18/2018,866,560,107,25
5/19/2018,2405,1704,190,62
5/20/2018,437,282,52,13
5/21/2018,10996,8144,385,289
5/22/2018,30821,23125,782,797
5/23/2018,10259,7809,277,276
5/24/2018,12198,8651,845,299
5/25/2018,11353,8771,369,334
5/26/2018,7967,5693,225,194
5/27/2018,4646,3503,245,137
5/28/2018,11496,8240,550,284
5/29/2018,11762,8900,623,313
5/30/2018,25523,19419,383,668
5/31/2018,16878,12535,574,445
6/1/2018,10058,7625,421,281
6/2/2018,550,356,61,16
6/3/2018,9824,7342,309,259
6/4/2018,16021,12165,293,423
6/5/2018,23052,17658,586,638
6/6/2018,2037,1376,262,52
6/7/2018,6853,4882,351,166
6/8/2018,8010,5960,305,216
6/9/2018,9754,7166,576,253
6/10/2018,11912,8951,836,316
6/11/2018,6404,4154,543,143
6/12/2018,6583,4364,363,147
6/13/2018,23325,16699,825,553
6/14/2018,6893,4937,443,165
6/15/2018,15944,11308,418,377
6/16/2018,504,326,104,18
6/17/2018,4112,3098,209,117
6/18/2018,21672,15739,695,540
6/19/2018,7441,5477,522,193
6/20/2018,21969,16240,263,538
6/21/2018,942,609,79,24
6/22/2018,11204,8169,974,288
6/23/2018,19549,14417,400,468
6/24/2018,14428,10315,440,345
6/25/2018,32452,23487,481,742
6/26/2018,11609,8222,350,284
6/27/2018,7496,5334,298,178
6/28/2018,17544,12651,515,431
6/29/2018,748,483,83,20
6/30/2018,4837,3189,228,101
7/1/2018,4332,3248,171,121
7/2/2018,19088,13341,856,441
7/3/2018,24347,17648,846,612
7/4/2018,675,436,120,20
7/5/2018,2831,1964,121,70
7/6/2018,6193,4454,183,157
7/7/2018,13472,10588,326,408
7/8/2018,1008,652,70,27
7/9/2018,11770,8287,770,282
7/10/2018,14775,10911,490,393
7/11/2018,1012,654,145,28
7/12/2018,1323,855,198,39
7/13/2018,15506,11303,661,408
7/14/2018,2099,1516,181,57
7/15/2018,1110,717,94,28
7/16/2018,26510,19851,761,698
7/17/2018,809,523,118,25
7/18/2018,530,343,114,16
7/19/2018,4034,2884,131,104
